Name of the initiative,Instrument Type,Country,Region,Jurisdiction Covered,Metric,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia Safeguard Mechanism,ETS,Australia,East Asia & Pacific,Australia,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.604,0,0,0,0,0,0,0,Not available
South Africa carbon tax,Carbon tax,South Africa,Sub-Saharan Africa,South Africa,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.25853361,94.38808192,115.3586089,127.3163092
Chile carbon tax,Carbon tax,Chile,Latin America & Caribbean,Chile,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218061325,0.273260637,0.24390886,0.193655085,0.232745006,0.217010584,0.216642173
Colombia carbon tax,Carbon tax,Colombia,Latin America & Caribbean,Colombia,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.5634408,105.7800049,142.0713755,27.02275986,89.37865777,112.8595884,124.3225487
Ukraine carbon tax,Carbon tax,Ukraine,Europe & Central Asia,Ukraine,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.701399208,8.149921565,6.492505814,2.923125091,0,3.377676923,3.637399335,4.109574388,45.67781143,33.01,42.53736171,112.8016161,85.93438086
Liechtenstein carbon tax,Carbon tax,Liechtenstein,Europe & Central Asia,Liechtenstein,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902875175,1.425449016,3.251327625,3.877257118,4.216295984,4.472879629,5.80338703,0,4.968199354,4.835189221,4.199072701,4.190115313,6.225398975,6.754399873,4.925873823,4.959938955
Washington CCA,ETS,USA,North America,Washington,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1824.524331
Fujian pilot ETS,ETS,China,East Asia & Pacific,Fujian,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539570571,0,0,0,0,0.190218218,0.196577971,0
Canada federal OBPS,ETS,Canada,North America,Canada,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,179.8902587,262.6343016,92.91080563,96.35705313
Singapore carbon tax,Carbon tax,Singapore,East Asia & Pacific,Singapore,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.7764881,154.1362151,145.8897243,162.1929164
China national ETS,ETS,China,East Asia & Pacific,China,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,Not available,Not available
Mexico pilot ETS,ETS,Mexico,Latin America & Caribbean,Mexico,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newfoundland and Labrador PSS,ETS,Canada,North America,Newfoundland and Labrador,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,0,0,0.134143223,0.137294022
Massachusetts ETS,ETS,USA,North America,Massachusetts,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92931089,8.19856686,15.78,44.3,53.8,41.42299035
Northwest Territories carbon tax,Carbon tax,Canada,North America,Northwest Territories,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.235270111,13.33614587,25.78591325,35.13527014,42.85819848
Nova Scotia OBPS,ETS,Canada,North America,Nova Scotia,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.18569167,35.6545961,41.5601023,25.18876122
Canada federal fuel charge,Carbon tax,Canada,North America,Canada,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461.534329,3010.831877,4777.35774,5895.540281,5719.352693
Netherlands carbon tax,Carbon tax,Netherlands,Europe & Central Asia,Netherlands,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available
Argentina carbon tax,Carbon tax,Argentina,Latin America & Caribbean,Argentina,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94178994,4.186545834,0.741682313,309.4789641,313.929632,198.1076763
Saskatchewan OBPS,ETS,Canada,North America,Saskatchewan,US$ millions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not available,0,0,0,21.61900539
