Region,Country,Subnational Region,Name of the initiative,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
North America,USA,California,California CaT,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.002946255,0.002887892,0.006365054,0.006280656,0.00620833,0.006065581,0.006096518,0.005610324,0.00563453,0.005558116,0.005558116,0.005558116
East Asia & Pacific,Japan,National,Japan carbon tax,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.019720968,0.018864238,0.018328154,0.018066259,0.017563355,0.01662281,0.016060508,0.015786392,0.015242013,0.015129311,0.015129311,0.015129311
East Asia & Pacific,Australia,National,Australia CPM,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.007182744,0.006991327,0.018328154,0.018066259,0.017563355,0.01662281,0.016060508,0.015786392,0.015242013,0.015129311,0.015129311,0.015129311
North America,Canada,Quebec,Quebec CaT,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.000483175,0.000467737,0.001236975,0.001200662,0.001211339,0.001213497,0.001224758,0.001147291,0.001139255,0.001123805,0.001123805,0.001123805
Europe & Central Asia,Kazakhstan,National,Kazakhstan ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.002901901,0.002587776,0.002704212,0.00283593,0.002815609,0.002685865,0.002863151,0.002826898,0.002897019,0.002897019,0.002897019
Europe & Central Asia,UK,National,UK Carbon Price Support,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.001345115,0.001309635,0.001251936,0.001195359,0.001151152,0.001105367,0.001047401,0.001043087,0.001030994,0.001030994,0.001030994
East Asia & Pacific,China,Shenzhen,Shenzhen pilot ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.00091356,0.000915539,0.000911745,0.000896565,0.000875985,0.000473768,0.000269117,0.00025682,0.000253337,0.000253337,0.000253337
East Asia & Pacific,China,Shanghai,Shanghai pilot ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.002133073,0.002137695,0.002128834,0.00209339,0.00204534,0.002041199,0.00173479,0.001655522,0.001633071,0.001633071,0.001633071
East Asia & Pacific,China,Beijing,Beijing pilot ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.000898513,0.00090046,0.000896728,0.000881798,0.000608582,0.000671267,0.000626161,0.00059755,0.000589447,0.000589447,0.000589447
East Asia & Pacific,China,Guangdong,Guangdong pilot ETS,0.003712478,0.000949708,0.001070983,0.001106159,0.001149358,0.0010788,0.001243987,0.000314402,0.000311339,0.000299497,5.60E-05,5.64E-05,5.33E-05,5.67E-05,5.59E-06,0.043686383,0.042455494,0.003420735,0.000126958,0.002259058,3.72E-05,0.002799952,0.002974853,0.00336765,0.004860379,0.004870909,0.00485072,0.004769958,0.004947381,0.005281851,0.005478715,0.005228378,0.005157472,0.005157472,0.005157472
